epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.56687,1.44579,2.9603,1.61143,0.00715,0.86742,0.11987,0.04381,1.723,3.19526,1.89814,3.334e-05,3.334e-05,3.334e-05
2,19.9393,1.33069,2.89472,1.53616,0.00743,0.95833,0.31524,0.15763,1.64261,3.19037,1.86345,8.16997e-05,8.16997e-05,8.16997e-05
3,28.0844,1.21435,2.68656,1.43347,0.00678,0.95833,0.39909,0.17281,1.5211,3.16592,1.76976,0.000128079,0.000128079,0.000128079
4,35.5616,1.27054,2.49261,1.43769,0.00707,1,0.37025,0.15331,1.44394,3.10024,1.65781,0.000172478,0.000172478,0.000172478
5,42.6,1.14971,2.15503,1.36579,0.00743,1,0.5478,0.22427,1.54468,2.95832,1.68087,0.000214896,0.000214896,0.000214896
6,49.7914,1.16686,1.94784,1.39692,0.00758,1,0.62097,0.27807,1.51059,2.84621,1.65713,0.000255334,0.000255334,0.000255334
7,56.8222,1.21651,1.72047,1.40117,0.00767,1,0.57969,0.33654,1.41583,2.75334,1.59813,0.000293792,0.000293792,0.000293792
8,63.7639,1.16094,1.57787,1.3902,0.0073,0.95833,0.57921,0.32918,1.34374,2.71691,1.56952,0.000330269,0.000330269,0.000330269
9,70.7571,1.11203,1.43846,1.38104,0.76685,0.54833,0.59275,0.33134,1.47116,2.59661,1.69662,0.000364766,0.000364766,0.000364766
10,77.583,1.12337,1.37834,1.33482,0.74741,0.39636,0.59747,0.32052,1.43714,2.51794,1.73553,0.000397283,0.000397283,0.000397283
11,84.6518,0.98843,1.27179,1.27484,0.87516,0.43561,0.55308,0.29449,1.49611,2.42481,1.8469,0.000427819,0.000427819,0.000427819
12,91.7965,1.08739,1.33183,1.37807,0.94657,0.43561,0.54179,0.2749,1.55058,2.47018,1.93495,0.000456375,0.000456375,0.000456375
13,98.7034,1.17301,1.39131,1.36582,0.93575,0.47727,0.61041,0.29394,1.68455,2.31503,1.95137,0.00048295,0.00048295,0.00048295
14,105.559,1.05455,1.27183,1.31362,0.84839,0.43561,0.58214,0.29496,1.73134,2.20758,2.00962,0.000507545,0.000507545,0.000507545
15,112.467,1.05022,1.15569,1.28522,0.79984,0.47727,0.57056,0.28755,1.64627,2.18645,2.15177,0.000530159,0.000530159,0.000530159
16,119.402,1.16111,1.2005,1.37427,0.8201,0.47111,0.57039,0.27828,1.62304,2.37816,2.05895,0.000550793,0.000550793,0.000550793
17,126.298,1.08603,1.18221,1.30477,0.7852,0.16667,0.37749,0.19894,1.70451,2.80594,2.12813,0.000569447,0.000569447,0.000569447
18,133.117,1.0326,1.15577,1.26993,0.7415,0.27681,0.4233,0.20648,1.68588,2.60917,2.1814,0.000586121,0.000586121,0.000586121
19,139.959,0.98523,1.10992,1.26958,0.74837,0.33974,0.40994,0.18683,1.7265,2.58632,2.20192,0.000600813,0.000600813,0.000600813
20,146.902,1.08594,1.12645,1.27905,0.47656,0.47727,0.44171,0.22929,1.7241,2.36925,2.18852,0.000613526,0.000613526,0.000613526
21,153.734,1.04745,1.06091,1.27712,0.5145,0.47727,0.48611,0.29336,1.74475,2.35138,2.125,0.000624258,0.000624258,0.000624258
22,160.561,0.99747,1.05908,1.23441,0.62389,0.44761,0.4732,0.27987,1.81145,2.32667,2.11509,0.00063301,0.00063301,0.00063301
23,167.365,1.0805,1.14014,1.34329,0.56933,0.38636,0.45936,0.25609,1.91943,2.43176,2.214,0.000639781,0.000639781,0.000639781
24,174.377,1.00898,1.13242,1.25922,0.66187,0.25,0.524,0.30611,1.73899,2.43725,2.05555,0.000644572,0.000644572,0.000644572
25,181.395,1.17209,1.14732,1.29023,0.59769,0.48028,0.57402,0.29964,1.81578,2.29994,2.109,0.000647383,0.000647383,0.000647383
26,188.278,0.96246,1.01385,1.21366,0.62537,0.61444,0.62964,0.28858,1.87626,2.10382,2.28499,0.000648213,0.000648213,0.000648213
27,195.105,1.02012,1.137,1.24611,0.61065,0.52652,0.56626,0.30707,1.9033,2.02012,2.28153,0.000647063,0.000647063,0.000647063
28,202.221,0.94485,1.01311,1.17365,0.85589,0.51768,0.61969,0.34497,1.801,1.92742,2.17435,0.000643932,0.000643932,0.000643932
29,209.09,0.91615,1.0376,1.18287,0.85589,0.51768,0.61969,0.34497,1.801,1.92742,2.17435,0.000638821,0.000638821,0.000638821
30,215.946,0.98163,1.01961,1.19684,0.79548,0.56174,0.67045,0.39467,1.74821,1.86914,2.11728,0.00063173,0.00063173,0.00063173
31,222.852,0.96121,1.04357,1.25057,0.79366,0.55882,0.61423,0.37374,1.71671,1.99913,1.96175,0.000622658,0.000622658,0.000622658
32,229.808,1.00596,0.99951,1.1792,0.77746,0.56221,0.59419,0.38674,1.74756,2.02018,1.98756,0.000611606,0.000611606,0.000611606
33,236.894,1.01019,1.03723,1.26536,0.77746,0.56221,0.59419,0.38674,1.74756,2.02018,1.98756,0.000598573,0.000598573,0.000598573
34,243.807,0.87932,0.99595,1.12144,0.82518,0.65378,0.62446,0.40871,1.76069,1.91479,1.99536,0.000577782,0.000577782,0.000577782
35,250.954,0.93801,0.94597,1.17153,0.83189,0.6872,0.64605,0.41515,1.76287,1.83215,1.98424,0.000544776,0.000544776,0.000544776
36,257.899,0.91956,0.95473,1.16355,0.8299,0.6901,0.6432,0.44303,1.70583,1.69419,1.94321,0.000511769,0.000511769,0.000511769
37,264.744,0.84113,0.90224,1.14982,0.8299,0.6901,0.6432,0.44303,1.70583,1.69419,1.94321,0.000478762,0.000478762,0.000478762
38,271.923,0.84591,0.89966,1.13006,0.80655,0.6573,0.61979,0.42383,1.6593,1.6125,1.95335,0.000445756,0.000445756,0.000445756
39,279.044,0.85002,0.85812,1.12972,0.76115,0.66218,0.60176,0.41568,1.71404,1.6315,2.05622,0.000412749,0.000412749,0.000412749
40,286.552,0.87773,0.86611,1.14025,0.77045,0.66288,0.61861,0.42171,1.66834,1.53852,2.04405,0.000379743,0.000379743,0.000379743
41,293.782,0.81254,1.1277,1.07132,0.77045,0.66288,0.61861,0.42171,1.66834,1.53852,2.04405,0.000346736,0.000346736,0.000346736
42,300.931,0.8112,1.07463,1.15349,0.7644,0.66146,0.64712,0.43462,1.61827,1.46097,1.97057,0.000313729,0.000313729,0.000313729
43,308.053,0.75698,1.02031,1.14301,0.74073,0.69625,0.64398,0.45347,1.59242,1.40672,1.90587,0.000280723,0.000280723,0.000280723
44,315.788,0.73491,0.95585,1.11165,0.76555,0.68953,0.66727,0.45109,1.62095,1.35977,1.93175,0.000247716,0.000247716,0.000247716
45,326.502,0.7289,0.88699,1.04633,0.76555,0.68953,0.66727,0.45109,1.62095,1.35977,1.93175,0.00021471,0.00021471,0.00021471
46,334.411,0.69115,0.8998,1.06197,0.80243,0.66245,0.66815,0.44846,1.60095,1.3906,1.87774,0.000181703,0.000181703,0.000181703
47,341.365,0.69698,0.97646,1.08963,0.81213,0.69948,0.67597,0.45558,1.57225,1.40011,1.8306,0.000148696,0.000148696,0.000148696
48,348.318,0.6584,0.88317,1.04833,0.86051,0.70455,0.69192,0.46236,1.56981,1.4148,1.81395,0.00011569,0.00011569,0.00011569
49,357.021,0.67397,0.86828,1.0701,0.86051,0.70455,0.69192,0.46236,1.56981,1.4148,1.81395,8.26832e-05,8.26832e-05,8.26832e-05
50,365.906,0.6502,0.86282,1.00841,0.83551,0.70455,0.70004,0.46711,1.5454,1.39644,1.77823,4.96766e-05,4.96766e-05,4.96766e-05
